d,valence,eltype,tol,ops,method,solver,der_seconds,strat_seconds,total_seconds,bytes,nullity,lsq_err,support,perm_ok,dims,nnz,status
10,3,Float32,1e-08,universal,SylverLining/Auto,AutoSolver,0.5464,0.0002,0.5466,3075200,14,1.000e+00,0.0000,false,10 10 10,55,ok
10,3,Float32,1e-08,universal,SylverLining/SVD,SVDSolver,2.4162,0.0002,2.4164,3070896,14,8.644e-01,0.2529,false,10 10 10,55,ok
10,3,Float32,1e-08,universal,Auto,none,3.1009,0.0003,3.1012,3077152,14,7.058e-01,0.5019,false,10 10 10,55,ok
10,3,Float32,1e-08,universal,QuickDer,none,2.3377,0.0002,2.3379,6871952,14,9.380e-01,0.1201,false,10 10 10,55,ok
10,3,Float32,1e-08,universal,QuickDer3,none,2.2775,0.0003,2.2778,4137024,14,9.453e-01,0.1065,false,10 10 10,55,ok
10,3,Float32,1e-08,symmetric,SylverLining/Auto,AutoSolver,0.9426,0.0003,0.9428,1185904,3,5.065e-06,1.0000,true,10 10 10,55,ok
10,3,Float32,1e-08,symmetric,SylverLining/SVD,SVDSolver,0.4115,0.0002,0.4117,1181600,3,2.820e-05,1.0000,true,10 10 10,55,ok
10,3,Float32,1e-08,symmetric,Auto,none,0.2378,0.0002,0.2380,1187856,3,7.438e-06,1.0000,true,10 10 10,55,ok
10,3,Float32,1e-08,symmetric,SymmetricGram,none,0.7351,0.0002,0.7353,4362360,3,2.049e-06,1.0000,true,10 10 10,55,ok
10,3,Float64,1e-16,universal,SylverLining/Auto,AutoSolver,0.6527,0.0002,0.6529,5787824,13,8.680e-01,0.2466,false,10 10 10,55,ok
10,3,Float64,1e-16,universal,SylverLining/SVD,SVDSolver,1.0183,0.0002,1.0185,5783616,13,6.229e-01,0.6121,false,10 10 10,55,ok
10,3,Float64,1e-16,universal,Auto,none,1.0882,0.0003,1.0885,5789776,13,9.347e-01,0.1264,false,10 10 10,55,ok
10,3,Float64,1e-16,universal,QuickDer,none,1.8559,0.0004,1.8563,5952384,13,8.695e-01,0.2440,false,10 10 10,55,ok
10,3,Float64,1e-16,universal,QuickDer3,none,1.2511,0.0004,1.2515,7764448,13,8.671e-01,0.2481,false,10 10 10,55,ok
10,3,Float64,1e-16,symmetric,SylverLining/Auto,AutoSolver,0.8760,0.0002,0.8762,2080000,3,2.849e-14,1.0000,true,10 10 10,55,ok
10,3,Float64,1e-16,symmetric,SylverLining/SVD,SVDSolver,0.4102,0.0003,0.4105,2075792,3,1.312e-14,1.0000,true,10 10 10,55,ok
10,3,Float64,1e-16,symmetric,Auto,none,0.6449,0.0002,0.6451,2081952,3,1.148e-14,1.0000,true,10 10 10,55,ok
10,3,Float64,1e-16,symmetric,SymmetricGram,none,0.0602,0.0001,0.0603,6177288,3,5.150e-15,1.0000,true,10 10 10,55,ok
15,3,Float32,1e-08,universal,SylverLining/Auto,AutoSolver,43.7380,0.0006,43.7386,793392688,13,5.028e-01,0.7472,false,15 15 15,120,ok
15,3,Float32,1e-08,universal,SylverLining/SVD,SVDSolver,3.6690,0.0006,3.6696,18843760,13,4.705e-01,0.7786,false,15 15 15,120,ok
15,3,Float32,1e-08,universal,Auto,none,4.0117,0.0002,4.0120,7606672,13,4.817e-01,0.7680,false,15 15 15,120,ok
15,3,Float32,1e-08,universal,QuickDer,none,1.2651,0.0002,1.2653,7604720,13,3.320e-01,0.8898,false,15 15 15,120,ok
15,3,Float32,1e-08,universal,QuickDer3,none,0.0000,0.0000,0.0000,0,0,NaN,NaN,false,15 15 15,120,error: FastDer3Valent did not find a correct solution triple at (a';b';c') = (8;8;8). Retry with larger sizes via triple_restriction_size_override.
15,3,Float32,1e-08,symmetric,SylverLining/Auto,AutoSolver,1.7261,0.0002,1.7263,4329632,3,1.161e-05,1.0000,true,15 15 15,120,ok
15,3,Float32,1e-08,symmetric,SylverLining/SVD,SVDSolver,2.1932,0.0002,2.1934,4325328,3,5.695e-06,1.0000,true,15 15 15,120,ok
15,3,Float32,1e-08,symmetric,Auto,none,2.9241,0.0002,2.9243,143160480,3,1.061e-04,1.0000,true,15 15 15,120,ok
15,3,Float32,1e-08,symmetric,SymmetricGram,none,0.8605,0.0002,0.8606,13987544,3,4.397e-06,1.0000,true,15 15 15,120,ok
15,3,Float64,1e-16,universal,SylverLining/Auto,AutoSolver,60.8937,0.0005,60.8942,865260176,13,4.930e-01,0.7570,false,15 15 15,120,ok
15,3,Float64,1e-16,universal,SylverLining/SVD,SVDSolver,3.9195,0.0003,3.9197,28658416,13,4.809e-01,0.7687,false,15 15 15,120,ok
15,3,Float64,1e-16,universal,Auto,none,2.6445,0.0002,2.6447,15078496,13,6.083e-01,0.6299,false,15 15 15,120,ok
15,3,Float64,1e-16,universal,QuickDer,none,2.1220,0.0002,2.1222,15076544,13,4.591e-01,0.7893,false,15 15 15,120,ok
15,3,Float64,1e-16,universal,QuickDer3,none,4.3358,0.0094,4.3452,26545776,13,3.392e-01,0.8849,false,15 15 15,120,ok
15,3,Float64,1e-16,symmetric,SylverLining/Auto,AutoSolver,0.9001,0.0002,0.9003,8805488,3,3.211e-13,1.0000,true,15 15 15,120,ok
15,3,Float64,1e-16,symmetric,SylverLining/SVD,SVDSolver,1.8214,0.0004,1.8217,8801280,3,3.374e-14,1.0000,true,15 15 15,120,ok
15,3,Float64,1e-16,symmetric,Auto,none,3.2736,0.0002,3.2737,119374288,3,2.118e-14,1.0000,true,15 15 15,120,ok
15,3,Float64,1e-16,symmetric,SymmetricGram,none,1.6377,0.0002,1.6378,18131912,3,7.077e-15,1.0000,true,15 15 15,120,ok
20,3,Float32,1e-08,universal,SylverLining/Auto,AutoSolver,21.3514,0.0011,21.3526,108941648,13,4.046e-01,0.8363,false,20 20 20,210,ok
20,3,Float32,1e-08,universal,SylverLining/SVD,SVDSolver,15.1302,0.0003,15.1306,63589520,13,4.142e-01,0.8285,false,20 20 20,210,ok
20,3,Float32,1e-08,universal,Auto,none,4.4850,0.0003,4.4852,15404688,13,3.482e-01,0.8787,false,20 20 20,210,ok
20,3,Float32,1e-08,universal,QuickDer,none,2.7327,0.0003,2.7330,15402736,13,1.987e-01,0.9605,false,20 20 20,210,ok
20,3,Float32,1e-08,universal,QuickDer3,none,0.0000,0.0000,0.0000,0,0,NaN,NaN,false,20 20 20,210,error: FastDer3Valent did not find a correct solution triple at (a';b';c') = (9;9;9). Retry with larger sizes via triple_restriction_size_override.
20,3,Float32,1e-08,symmetric,SylverLining/Auto,AutoSolver,2.7402,0.0004,2.7406,5763312,3,1.057e-05,1.0000,true,20 20 20,210,ok
20,3,Float32,1e-08,symmetric,SylverLining/SVD,SVDSolver,3.2372,0.0002,3.2374,13217824,3,9.288e-06,1.0000,true,20 20 20,210,ok
20,3,Float32,1e-08,symmetric,Auto,none,3.5577,0.0004,3.5581,16557888,3,1.786e-05,1.0000,true,20 20 20,210,ok
20,3,Float32,1e-08,symmetric,SymmetricGram,none,1.4896,0.0004,1.4900,34941176,3,3.056e-05,1.0000,true,20 20 20,210,ok
20,3,Float64,1e-16,universal,SylverLining/SVD,SVDSolver,25.0687,0.0007,25.0695,83475120,13,1.469e-01,0.9784,false,20 20 20,210,ok
20,3,Float64,1e-16,universal,Auto,none,3.7118,0.0003,3.7121,42203392,13,5.280e-01,0.7212,false,20 20 20,210,ok
20,3,Float64,1e-16,universal,QuickDer,none,3.8367,0.0003,3.8370,42201440,13,1.167e-01,0.9864,false,20 20 20,210,ok
20,3,Float64,1e-16,universal,QuickDer3,none,3.5513,0.0003,3.5517,60075552,13,4.654e-01,0.7834,false,20 20 20,210,ok
20,3,Float64,1e-16,symmetric,SylverLining/Auto,AutoSolver,6.8897,0.0005,6.8902,21342832,3,4.456e-14,1.0000,true,20 20 20,210,ok
20,3,Float64,1e-16,symmetric,SylverLining/SVD,SVDSolver,2.8188,0.0002,2.8190,33616624,3,1.952e-14,1.0000,true,20 20 20,210,ok
20,3,Float64,1e-16,symmetric,Auto,none,4.1828,0.0004,4.1832,44217456,3,1.388e-13,1.0000,true,20 20 20,210,ok
20,3,Float64,1e-16,symmetric,SymmetricGram,none,1.4625,0.0004,1.4630,51538040,3,7.780e-15,1.0000,true,20 20 20,210,ok
25,3,Float32,1e-08,universal,SylverLining/Auto,AutoSolver,54.8875,0.0009,54.8884,219091872,13,4.110e-01,0.8311,false,25 25 25,325,ok
25,3,Float32,1e-08,universal,SylverLining/SVD,SVDSolver,56.4109,0.0004,56.4113,101430096,13,4.312e-01,0.8141,false,25 25 25,325,ok
25,3,Float32,1e-08,universal,Auto,none,9.5963,0.0004,9.5967,27480304,13,2.956e-01,0.9126,false,25 25 25,325,ok
25,3,Float32,1e-08,universal,QuickDer,none,7.3452,0.0004,7.3456,27478352,13,4.426e-01,0.8041,false,25 25 25,325,ok
25,3,Float32,1e-08,universal,QuickDer3,none,7.3575,0.0004,7.3579,51417280,13,4.079e-01,0.8336,false,25 25 25,325,ok
25,3,Float32,1e-08,symmetric,SylverLining/Auto,AutoSolver,2.8133,0.0005,2.8139,9205024,3,5.012e-05,1.0000,true,25 25 25,325,ok
25,3,Float32,1e-08,symmetric,SylverLining/SVD,SVDSolver,10.0319,0.0003,10.0321,37070384,3,7.508e-05,1.0000,true,25 25 25,325,ok
25,3,Float32,1e-08,symmetric,Auto,none,10.2539,0.0003,10.2541,29176992,3,2.105e-05,1.0000,true,25 25 25,325,ok
25,3,Float32,1e-08,symmetric,SymmetricGram,none,3.4198,0.0003,3.4200,81345352,3,6.722e-06,1.0000,true,25 25 25,325,ok
25,3,Float64,1e-16,universal,SylverLining/SVD,SVDSolver,68.1007,0.0078,68.1085,215565744,13,3.178e-01,0.8990,false,25 25 25,325,ok
25,3,Float64,1e-16,universal,Auto,none,15.8184,0.0010,15.8194,56401568,13,2.425e-01,0.9412,false,25 25 25,325,ok
25,3,Float64,1e-16,universal,QuickDer,none,9.5994,0.0005,9.5999,56399616,13,2.935e-01,0.9139,false,25 25 25,325,ok
25,3,Float64,1e-16,universal,QuickDer3,none,13.9418,0.0010,13.9428,91667760,13,3.395e-01,0.8847,false,25 25 25,325,ok
25,3,Float64,1e-16,symmetric,SylverLining/Auto,AutoSolver,6.8851,0.0007,6.8858,28625536,3,6.896e-13,1.0000,true,25 25 25,325,ok
25,3,Float64,1e-16,symmetric,SylverLining/SVD,SVDSolver,12.5642,0.0003,12.5646,73863216,3,2.073e-13,1.0000,true,25 25 25,325,ok
25,3,Float64,1e-16,symmetric,Auto,none,13.2171,0.0003,13.2174,58834944,3,9.164e-14,1.0000,true,25 25 25,325,ok
25,3,Float64,1e-16,symmetric,SymmetricGram,none,4.0175,0.0003,4.0179,111612792,3,1.449e-14,1.0000,true,25 25 25,325,ok
30,3,Float32,1e-08,universal,SylverLining/Auto,AutoSolver,109.3513,0.0650,109.4164,243551232,13,2.982e-01,0.9111,false,30 30 30,465,ok
30,3,Float32,1e-08,universal,SylverLining/SVD,SVDSolver,151.1141,0.0881,151.2022,217274832,13,1.924e-01,0.9630,false,30 30 30,465,ok
30,3,Float32,1e-08,universal,Auto,none,11.9776,0.0005,11.9780,46694128,13,9.608e-02,0.9908,false,30 30 30,465,ok
30,3,Float32,1e-08,universal,QuickDer,none,16.3826,0.1491,16.5316,46692176,13,4.267e-02,0.9982,false,30 30 30,465,ok
30,3,Float32,1e-08,universal,QuickDer3,none,21.2045,0.0005,21.2050,82953776,13,3.808e-01,0.8550,false,30 30 30,465,ok
30,3,Float32,1e-08,symmetric,SylverLining/Auto,AutoSolver,9.1313,0.1839,9.3152,13238208,3,6.844e-05,1.0000,true,30 30 30,465,ok
30,3,Float32,1e-08,symmetric,SylverLining/SVD,SVDSolver,42.5054,0.1282,42.6337,75497808,3,2.228e-05,1.0000,true,30 30 30,465,ok
30,3,Float32,1e-08,symmetric,Auto,none,14.6901,0.0004,14.6905,51693776,3,2.142e-05,1.0000,true,30 30 30,465,ok
30,3,Float32,1e-08,symmetric,SymmetricGram,none,5.9451,0.0003,5.9454,161078248,3,4.912e-06,1.0000,true,30 30 30,465,ok
30,3,Float64,1e-16,universal,Auto,none,25.1159,0.1288,25.2447,104947216,13,3.237e-01,0.8952,false,30 30 30,465,ok
30,3,Float64,1e-16,universal,QuickDer,none,21.7689,0.1241,21.8930,104945264,13,3.322e-01,0.8896,false,30 30 30,465,ok
30,3,Float64,1e-16,universal,QuickDer3,none,27.9831,0.0845,28.0676,161289200,13,3.038e-01,0.9077,false,30 30 30,465,ok
30,3,Float64,1e-16,symmetric,SylverLining/Auto,AutoSolver,56.9389,0.1007,57.0396,118778448,3,1.340e-12,1.0000,true,30 30 30,465,ok
30,3,Float64,1e-16,symmetric,SylverLining/SVD,SVDSolver,55.3057,0.0790,55.3847,113669904,3,6.152e-14,1.0000,true,30 30 30,465,ok
30,3,Float64,1e-16,symmetric,Auto,none,22.7671,0.0772,22.8443,126966592,3,9.896e-14,1.0000,true,30 30 30,465,ok
